Date,Open,High,Low,Close,Adj Close,Volume,Percent Change
12/17/19,319.920013,320.25,319.480011,319.570007,298.613586,61097700,0.000219261
12/18/19,320,320.25,319.529999,319.589996,298.632233,48133000,6.24452E-05
12/19/19,319.799988,320.980011,319.519989,320.899994,299.856293,85310500,0.004098888
12/20/19,320.459991,321.970001,319.390015,320.730011,301.17099,147142100,0.004384424
12/23/19,321.589996,321.649994,321.059998,321.220001,301.631042,52990000,0.001527544
12/24/19,321.470001,321.519989,320.899994,321.230011,301.64035,20270000,3.08589E-05
12/26/19,321.649994,322.950012,321.640015,322.940002,303.246124,30911200,0.005323472
12/27/19,323.73999,323.799988,322.279999,322.859985,303.17099,42528800,-0.000247766
12/30/19,322.950012,323.100006,320.549988,321.079987,301.499512,49729100,-0.005513318
12/31/19,320.529999,322.130005,320.149994,321.859985,302.231964,57077300,0.002429364
1/2/20,323.540009,324.890015,322.529999,324.869995,305.058472,59151200,0.009352115
1/3/20,321.160004,323.640015,321.100006,322.410004,302.748474,77709700,-0.007572312
1/6/20,320.48999,323.730011,320.359985,323.640015,303.903503,55653900,0.003815144
1/7/20,323.019989,323.540009,322.23999,322.730011,303.048889,40496400,-0.002812123
1/8/20,322.940002,325.779999,322.670013,324.450012,304.664063,68296000,0.005329747
1/9/20,326.160004,326.730011,325.519989,326.649994,306.729858,48473300,0.006780567
1/10/20,327.290009,327.459991,325.200012,325.709991,305.847229,53029300,-0.002877545
1/13/20,326.390015,327.959991,325.920013,327.950012,307.950623,47086800,0.00687727
1/14/20,327.470001,328.619995,326.839996,327.450012,307.48111,62832800,-0.001524637
1/15/20,327.350006,329.019989,327.26001,328.190002,308.175964,72056600,0.002259827
1/16/20,329.700012,330.920013,329.450012,330.920013,310.739471,54050300,0.008318322
1/17/20,331.700012,332.179993,330.850006,331.950012,311.706787,95846000,0.003112949
1/21/20,330.899994,332.179993,330.820007,331.299988,311.096375,77742400,-0.001958289
1/22/20,332.23999,332.950012,331.170013,331.339996,311.13385,48914900,0.000120461
1/23/20,330.630005,332.170013,329.410004,331.720001,311.490692,51963000,0.001146908
1/24/20,332.440002,332.529999,327.359985,328.769989,308.720551,87578400,-0.008893174
1/27/20,323.029999,325.119995,322.660004,323.5,303.771942,84062500,-0.016029412
1/28/20,325.059998,327.850006,323.600006,326.890015,306.955261,63834000,0.010479306
1/29/20,328.380005,328.630005,326.399994,326.619995,306.701721,53888900,-0.000825984
1/30/20,324.359985,327.910004,323.540009,327.679993,307.697052,75491800,0.003245274
1/31/20,327,327.170013,320.730011,321.730011,302.109863,113845600,-0.018158084
2/3/20,323.350006,326.160004,323.220001,324.119995,304.354218,69083000,0.007428937
2/4/20,328.070007,330.01001,327.720001,329.059998,308.99292,62573200,0.015241129
2/5/20,332.269989,333.089996,330.670013,332.859985,312.561127,65951100,0.01154786
2/6/20,333.910004,334.190002,332.799988,333.980011,313.612946,50359700,0.003365163
